省份,城市,流域,河流,站点名称,经度,纬度,监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总有机碳,总磷,总氮,叶绿素α,藻密度,水质,站点
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-26 20:00:00,8.6800,8.61000,13.20000,511.70000,7.05000,4.69000,0.02000,,0.04000,1.39000,0.00000,3464822,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-27 20:00:00,9.2100,8.78000,12.77000,514.59000,6.52000,4.74000,0.02000,,0.04000,1.34000,0.00000,3735920,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-28 20:00:00,9.5800,8.87000,12.46000,512.18000,6.89000,4.57000,0.02000,,0.04000,1.33000,0.00000,3472233,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-29 20:00:00,9.6700,8.78000,11.72000,508.48000,9.66000,4.44000,0.02000,,0.04000,1.33000,0.00000,2867388,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-30 20:00:00,6.6500,8.19000,11.29000,511.80000,19.90000,4.30000,0.02000,,0.04000,1.47000,0.00000,2340313,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-31 12:00:00,3.9100,7.63000,11.72000,531.08000,26.10000,4.32000,0.02000,,0.05000,1.39000,0.00000,2284493,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-05 20:00:00,6.2800,8.17000,12.21000,529.18000,8.36000,4.22000,0.02000,,0.03000,1.19000,0.00000,2176558,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-06 20:00:00,6.0600,8.15000,11.93000,534.06000,7.98000,4.17000,0.02000,,0.03000,1.23000,0.00000,2279115,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-07 20:00:00,4.4800,8.15000,12.24000,488.06000,14.49000,4.22000,0.02000,,0.04000,1.39000,0.00000,2669358,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-08 20:00:00,1.9300,8.14000,12.97000,460.91000,14.79000,,,,,,0.00000,2616517,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-09 20:00:00,1.8800,8.15000,13.38000,493.80000,12.14000,,,,,1.57000,0.00000,2695052,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-10 20:00:00,3.2700,8.21000,13.41000,505.50000,8.20000,,,,,1.52000,0.00000,2983263,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-11 20:00:00,3.9700,8.34000,14.39000,517.30000,7.75000,,0.02000,,,1.46000,0.00000,2751735,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-12 20:00:00,3.7200,8.38000,14.54000,511.06000,8.42000,,0.02000,,0.04000,1.42000,0.00000,2862997,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-13 20:00:00,4.6100,8.38000,14.49000,484.55000,7.12000,,0.02000,,0.03000,1.35000,0.00000,2640195,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-14 20:00:00,5.4200,8.47000,14.67000,456.51000,7.43000,4.18000,0.02000,,0.03000,1.39000,0.00000,2683913,Ⅰ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-15 20:00:00,6.3500,8.58000,14.83000,455.03000,7.59000,4.21000,0.02000,,0.03000,1.40000,0.00000,3036105,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-16 20:00:00,6.4500,8.60000,14.42000,471.78000,9.66000,4.51000,0.02000,,0.04000,1.34000,0.00000,2972283,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-17 20:00:00,6.0400,8.60000,13.62000,466.42000,11.45000,4.65000,0.02000,,0.04000,1.44000,0.00000,4389782,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-18 20:00:00,6.0700,8.66000,14.31000,472.12000,8.84000,4.73000,0.02000,,0.04000,1.38000,0.00000,3977368,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-19 20:00:00,6.5000,8.64000,14.67000,476.39000,7.63000,4.65000,0.02000,,0.03000,1.26000,0.00000,5800593,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-20 20:00:00,7.1900,8.62000,13.91000,479.57000,7.31000,4.50000,0.02000,,0.03000,1.19000,0.00000,4074537,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-21 20:00:00,8.1800,8.64000,13.37000,482.91000,6.79000,4.50000,0.02000,,0.03000,1.13000,0.00000,2767470,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-22 20:00:00,8.6400,8.63000,12.75000,478.33000,8.15000,4.46000,0.03000,,0.03000,1.12000,0.00000,3174338,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-23 20:00:00,8.5900,8.56000,11.94000,477.64000,9.91000,4.58000,0.04000,,0.04000,1.17000,0.00000,3827170,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-24 20:00:00,8.5500,8.46000,10.97000,471.27000,8.78000,4.40000,0.05000,,0.03000,1.19000,0.00000,3124800,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-25 04:00:00,8.7000,8.40000,10.76000,473.22000,7.21000,4.24000,0.06000,,0.03000,1.13000,0.00000,2920900,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-26 20:00:00,9.2300,8.22000,9.93000,474.38000,7.11000,4.08000,0.08000,,0.03000,1.15000,0.00000,2442355,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-27 20:00:00,9.4700,8.12000,9.59000,473.57000,7.96000,4.11000,0.10000,,0.03000,1.13000,0.00000,2059928,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-28 20:00:00,9.4200,8.12000,10.02000,475.10000,8.06000,4.01000,0.09000,,0.03000,1.13000,0.00000,1571698,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-29 20:00:00,8.6800,8.08000,10.18000,479.08000,7.85000,3.75000,0.08000,,0.03000,1.12000,0.00000,1338987,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-30 20:00:00,8.7500,8.08000,10.40000,488.24000,6.38000,3.71000,0.07000,,0.03000,1.10000,0.00000,1206612,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-01-31 20:00:00,9.3400,8.03000,10.13000,488.90000,5.85000,3.74000,0.07000,,0.03000,1.08000,0.00000,1192477,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-01 20:00:00,9.5800,7.92000,9.30000,486.42000,5.82000,3.73000,0.08000,,0.03000,1.06000,0.00000,1576157,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-02 20:00:00,9.5500,7.92000,9.54000,483.97000,8.81000,3.81000,0.09000,,0.03000,1.08000,0.00000,1694735,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-03 20:00:00,9.8300,7.98000,10.12000,486.63000,6.57000,3.82000,0.08000,,0.03000,1.08000,0.00000,1760063,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-04 20:00:00,10.3600,7.94000,9.98000,491.88000,8.41000,3.71000,0.07000,,0.03000,1.06000,0.00000,1213078,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-05 20:00:00,10.2700,7.86000,9.40000,493.84000,7.05000,3.61000,0.06000,,0.03000,1.06000,0.00000,1304925,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-06 20:00:00,10.6600,7.89000,9.41000,491.15000,8.09000,3.52000,0.04000,,0.03000,1.01000,0.00000,1721643,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-07 20:00:00,11.6200,7.97000,9.66000,487.63000,7.48000,3.63000,0.03000,,0.03000,0.97000,0.00000,1949352,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-08 20:00:00,11.1900,7.86000,9.42000,490.41000,11.29000,3.69000,0.04000,,0.03000,1.05000,0.00000,1963455,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-09 20:00:00,10.6900,7.91000,9.75000,523.87000,9.53000,3.63000,0.03000,,0.03000,1.04000,0.00000,2006177,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-10 20:00:00,10.5600,8.01000,10.29000,556.47000,10.53000,3.72000,0.02000,,0.03000,1.02000,0.00000,2374243,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-11 20:00:00,10.5800,7.95000,9.94000,557.76000,8.95000,3.78000,0.02000,,0.03000,1.00000,0.00000,3069975,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-12 20:00:00,10.7800,7.89000,9.26000,557.13000,7.90000,3.82000,0.03000,,0.03000,0.98000,0.00000,3563093,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-13 20:00:00,11.7400,7.96000,9.58000,552.84000,8.03000,3.86000,0.02000,,0.03000,0.92000,0.00000,3243040,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-14 20:00:00,12.5300,8.03000,9.78000,547.03000,7.28000,3.79000,0.02000,,0.03000,0.92000,0.00000,2640292,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-15 20:00:00,12.4300,7.99000,9.36000,545.10000,11.25000,3.93000,0.02000,,0.03000,0.99000,0.00000,2578985,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-16 20:00:00,11.8100,7.90000,8.98000,550.38000,8.83000,3.88000,0.03000,,0.03000,0.98000,0.00000,2140438,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-17 20:00:00,11.0300,7.96000,9.59000,552.60000,11.31000,3.72000,0.03000,,0.03000,1.00000,0.00000,1842618,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-18 20:00:00,10.4200,7.99000,9.61000,552.85000,9.24000,3.66000,0.02000,,0.03000,1.05000,0.00000,1742192,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-19 20:00:00,10.6200,7.99000,9.94000,552.53000,8.67000,3.86000,0.02000,,0.03000,1.09000,0.00000,1680108,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-20 20:00:00,11.6000,8.00000,9.69000,552.11000,8.99000,3.71000,0.02000,,0.03000,1.07000,0.00000,1916297,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-21 20:00:00,12.8500,7.87000,8.31000,550.18000,8.20000,3.57000,0.02000,,0.03000,1.04000,0.00000,1658567,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-22 20:00:00,13.5800,7.99000,9.19000,550.49000,9.99000,3.95000,0.02000,,0.03000,1.03000,0.00000,2402927,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-23 20:00:00,12.9600,8.18000,10.03000,549.63000,15.14000,4.47000,0.02000,,0.04000,1.06000,0.00000,3155615,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-24 20:00:00,12.7600,8.17000,9.87000,555.68000,13.86000,4.39000,0.02000,,0.04000,1.14000,0.00000,3008465,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-25 20:00:00,12.9900,8.13000,9.45000,554.76000,15.88000,4.42000,0.02000,,0.04000,1.24000,0.01000,4592570,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-26 20:00:00,12.1500,7.98000,8.91000,549.90000,18.66000,4.29000,0.04000,,0.04000,1.32000,0.00000,3710037,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-27 20:00:00,11.6500,7.96000,8.94000,538.59000,14.38000,3.96000,0.07000,,0.04000,1.34000,0.00000,3506322,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-02-28 20:00:00,12.0500,7.91000,8.40000,550.49000,8.11000,3.73000,0.06000,,0.03000,1.15000,0.00000,3088527,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-01 20:00:00,12.2100,7.91000,8.57000,547.98000,10.56000,3.84000,0.04000,,0.04000,1.16000,0.00000,3897048,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-02 20:00:00,11.5200,7.99000,9.24000,539.14000,12.04000,3.87000,0.05000,,0.04000,1.25000,0.00000,3239408,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-03 20:00:00,11.3700,8.02000,9.51000,530.82000,9.22000,3.85000,0.05000,,0.04000,1.28000,0.00000,2589498,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-04 20:00:00,11.9300,8.01000,9.34000,512.10000,6.88000,3.68000,0.03000,,0.04000,1.42000,0.00000,2856372,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-05 20:00:00,12.2100,8.05000,9.31000,509.48000,8.38000,3.70000,0.02000,,0.04000,1.39000,0.00000,2946935,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-06 20:00:00,11.6000,8.03000,9.32000,509.24000,11.35000,3.77000,0.02000,,0.04000,1.42000,0.00000,2887577,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-07 20:00:00,10.6400,8.01000,9.03000,503.14000,12.42000,3.53000,0.03000,,0.04000,1.48000,0.00000,3156702,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-08 20:00:00,10.5700,7.91000,8.34000,496.85000,10.24000,3.38000,0.06000,,0.04000,1.42000,0.00000,2583258,Ⅱ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-09 20:00:00,11.0200,7.88000,8.30000,508.74000,7.26000,3.36000,0.05000,,0.03000,1.37000,0.00000,2047465,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-10 20:00:00,11.9700,7.88000,8.26000,509.49000,6.54000,3.31000,0.05000,,0.03000,1.40000,0.00000,2025110,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-11 20:00:00,12.2000,7.96000,8.72000,499.04000,10.65000,3.62000,0.03000,,0.04000,1.46000,0.00000,2520793,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-12 20:00:00,12.1000,7.94000,8.87000,511.67000,10.23000,3.65000,0.04000,,0.04000,1.42000,0.00000,2601495,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-13 20:00:00,12.8800,8.01000,9.29000,523.86000,6.05000,3.51000,0.04000,,0.03000,1.35000,0.00000,2462105,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-14 20:00:00,13.7900,8.08000,9.69000,524.41000,5.54000,3.48000,0.03000,,0.03000,1.35000,0.00000,2140667,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-15 20:00:00,14.5300,8.18000,10.07000,525.57000,6.81000,3.65000,0.02000,,0.04000,1.36000,0.00000,2526675,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-16 20:00:00,14.8700,8.06000,9.29000,524.51000,9.03000,3.64000,0.03000,,0.04000,1.41000,0.00000,4507492,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-17 20:00:00,13.7500,7.94000,8.49000,527.48000,9.21000,3.64000,0.06000,,0.04000,1.48000,0.00000,4109122,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-18 20:00:00,13.3700,7.96000,8.60000,527.33000,8.10000,3.47000,0.07000,,0.04000,1.43000,0.00000,2884003,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-19 20:00:00,13.3300,7.93000,8.46000,526.70000,8.21000,3.37000,0.07000,,0.04000,1.43000,0.00000,3940805,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-20 20:00:00,12.9400,7.95000,8.62000,525.38000,9.58000,3.39000,0.07000,,0.04000,1.43000,0.00000,2864018,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-21 20:00:00,12.6500,8.06000,9.35000,518.12000,8.96000,3.51000,0.06000,,0.04000,1.45000,0.00000,2993613,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-22 20:00:00,13.0800,8.18000,9.92000,518.86000,7.01000,3.47000,0.03000,,0.04000,1.39000,0.00000,2352940,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-23 20:00:00,13.9300,8.25000,10.36000,520.29000,7.46000,3.69000,0.02000,,0.04000,1.43000,0.00000,3921053,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-24 20:00:00,14.9000,8.30000,10.39000,523.53000,7.02000,4.20000,0.02000,,0.04000,1.42000,0.00000,3068642,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-25 20:00:00,16.2300,8.54000,11.39000,522.98000,4.92000,4.36000,0.02000,,0.04000,1.11000,0.00000,3672342,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-26 20:00:00,16.6100,8.66000,11.41000,521.70000,9.67000,4.59000,0.02000,,0.04000,1.17000,0.00000,6411072,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-27 20:00:00,17.2300,8.40000,9.12000,527.50000,10.84000,4.44000,0.02000,,0.04000,1.17000,0.00000,6937280,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-28 20:00:00,18.1900,8.35000,7.77000,526.96000,6.99000,4.34000,0.02000,,0.04000,1.18000,0.00000,4111580,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-29 20:00:00,19.6000,8.33000,7.85000,526.81000,5.41000,4.22000,0.02000,,0.04000,1.08000,0.00000,3907752,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-30 20:00:00,19.1500,8.05000,7.24000,527.90000,10.56000,4.40000,0.04000,,0.05000,1.24000,0.00000,5872215,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-03-31 20:00:00,17.8500,7.93000,6.68000,523.86000,9.44000,4.45000,0.04000,,0.05000,1.27000,0.00000,5584417,Ⅳ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-01 20:00:00,17.0700,7.80000,6.14000,523.68000,8.74000,4.29000,0.09000,,0.05000,1.21000,0.00000,5215810,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-02 20:00:00,17.2100,7.76000,5.70000,523.61000,6.52000,4.28000,0.10000,,0.04000,1.13000,0.00000,4231540,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-03 20:00:00,17.1000,7.76000,6.54000,518.73000,11.21000,4.54000,0.08000,,0.04000,1.19000,0.00000,7781560,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-04 20:00:00,16.2900,7.99000,8.42000,515.84000,13.72000,4.18000,0.06000,,0.05000,1.32000,0.00000,8247215,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-05 20:00:00,16.2800,8.43000,10.44000,499.31000,9.06000,3.81000,0.02000,,0.04000,1.22000,0.00000,10195080,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-06 20:00:00,17.3400,8.53000,10.90000,495.03000,6.82000,3.85000,0.02000,,0.04000,1.12000,0.00000,13078335,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-07 20:00:00,17.0300,8.58000,10.87000,498.88000,6.25000,4.06000,0.02000,,0.04000,1.22000,0.00000,15947500,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-08 20:00:00,16.8500,8.72000,11.09000,493.77000,8.72000,4.08000,0.02000,,0.05000,1.26000,0.00000,16587200,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-09 20:00:00,17.3800,8.71000,10.97000,507.63000,7.92000,4.00000,0.02000,,0.04000,1.21000,0.00000,18046567,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-10 20:00:00,17.3200,8.75000,10.54000,527.01000,9.46000,4.19000,0.02000,,0.05000,1.27000,0.00000,9593963,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-11 20:00:00,17.1700,8.40000,7.80000,530.76000,5.93000,4.05000,0.03000,,0.04000,1.25000,0.00000,14081948,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-12 20:00:00,17.2100,8.17000,6.96000,533.70000,6.80000,3.65000,0.07000,,0.04000,1.13000,0.00000,9881095,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-13 20:00:00,17.6500,8.26000,7.73000,529.31000,9.18000,3.95000,0.06000,,0.05000,1.20000,0.00000,12573745,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-14 20:00:00,17.2100,8.30000,8.00000,527.11000,10.23000,4.03000,0.05000,,0.05000,1.20000,0.00000,17558633,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-15 20:00:00,16.7200,8.36000,8.46000,528.80000,7.72000,4.07000,0.02000,,0.04000,1.16000,0.00000,26684600,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2021-04-16 20:00:00,17.0100,8.41000,8.90000,532.06000,6.34000,4.09000,0.02000,,0.04000,1.10000,0.00000,36694000,Ⅲ,
